oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
11	Arthropterygius cf. chrisorum	species	147.52	147.2	Middle Volgian	Agardhfjellet Formation	Crendonites aguinus Ammonite Biozone?	Svalbard, Norway	SJ	Delsett2018P,Zverkov2019P	PMO 224.250			78.338949	16.043724	33X 0523549 8696407				
12	Arthropterygius cf. hoybergeti	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P	YKM 63548			54.157656	48.642742					location estimated on bank near Krestovo-Gorodische
13	Arthropterygius cf. hoybergeti	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P	UPM 2442			54.157656	48.642742					location estimated on Krestovo-Gorodische
14	Arthropterygius chrisorum	species	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	CA	Maxwell2010	CMN 40608	872313		76.151108	-113.5					
15	Arthropterygius chrisorum	species	161.18	152.06	Oxfordian–Kimmeridgian	Rignes Formation		Melville Island, Canada	CA	Maxwell2010	CMN 40609	1062206		76.151108	-113.5					
16	Arthropterygius chrisorum	species	145.73	143.57	Lower Berriasian	Hofer Formation		Franz Josef Land, Russia	RU	Zverkov2019P	CMGE 3–16/13328			80.288	58.83205					location at centre Berghaus Island
17	Arthropterygius chrisorum	species	145.73	143.57	Lower Berriasian	Hofer Formation		Franz Josef Land, Russia	RU	Zverkov2019P	CMGE 17–44/13328			80.288	58.83205					location at centre Berghaus Island
18	Arthropterygius chrisorum	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P	SGM 1573			54.230233	48.545721					location estimated from Table 1
19	Arthropterygius chrisorum	species	147.93	147.52	Middle Volgian	Agardfjellet Formation	?Dorsoplanites maximus Ammonite Biozone	Svalbard, Norway	SJ	Delsett2018P,Zverkov2019P	PMO 222.669			78.336571	15.835009					
20	Arthropterygius hoybergeti	species	148.35	147.52	Middle Volgian	Agardfjellet Formation	Dorsoplanites ilovaiskii–Dorsoplanites maximus ammonite biozones	Svalbard, Norway	SJ	Druckenmiller2012NJG, Zverkov2019P	SVB 1451	1077967		78.337303	15.832					
21	Arthropterygius lundi	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Samara Region, Russia	RU	Zverkov2019P	SGM 1731-01–15			53.125519	48.827939					location estimated just north of Kashpir
22	Arthropterygius lundi	species	149.09	147.52	Middle Volgian	Agardhfjellet Formation	Pavlovia rugosa–Dorsplanites ilovaiskii ammonite biozones	Svalbard Norway	SJ	Roberts2014PO,Zverkov2019P	PMO 222.654	1220159		78.340553	15.834444					
23	Arthropterygius lundi	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Ulyanovsk Region, Russia	RU	Zverkov2019P	SGM 1502	1263914		54.166375	48.519823					
24	Arthropterygius thalassonotus	species	147.72	145.73	Upper Tithonian	Vaca Muerta Formation		Neuquén Province, Argentina	AR	Campos2019ZJLS	MOZ-PV 6145	1492005		-39.194443	-69.667503					
25	Arthropterygius volgensis	species	149.59	147.53	Middle Volgian	Promza Formation	Dorsoplanites panderi Ammonite Biozone	Samara Region, Russia	RU	Zverkov2019P	KSU 982/P-213	1542337		53.083332	48.266666					
26	Athabascasaurus bitumineus	species	113.14	110.22	Lower Albian	Clearwater Formation		Alberta, Canada	CA	Druckenmiller2010CJES	TMP 2000.29.01	119020		56.995834	-111.667221					
27	Ophthalmosauridae	clade	157.25	144.1	Kimmeridgian–Volgian	Hofer Formation		Cape Hansa, Wilczek Island	RU	Zverkov2019P	CMGE 1-2/13328			80.396796	59.712794					location estimated from map Fig. 1
28	Ophthalmosauridae	clade	148.35	147.52	Middle Tithonian	Agardhfjellet Formation	Dorsoplanites ilovaiskii–Dorsoplanites maximus ammonite biozones	Svalbard, Norway	SJ	Delsett2017PO	PMO 222.670					33X 0519609 8695600				
29	Ophthalmosauridae	clade	149.09	147.52	Middle Tithonian	Agardhfjellet Formation	Pavlovia rugosa–Dorsplanites ilovaiskii ammonite biozones	Svalbard, Norway	SJ	Delsett2017PO	PMO 222.662					33X 528940 8692530				
30	Ophthalmosauridae	clade	148.35	147.52	Middle Tithonian	Agardhfjellet Formation	Dorsoplanites ilovaiskii–Dorsoplanites maximus ammonite biozones	Svalbard, Norway	SJ	Delsett2017PO	PMO 227.932					33X 0519622 8695649				
31	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899756		25.518888	104.905556					
32	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899759		25.518888	104.905556					
33	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899762		25.518888	104.905556					
34	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899764		25.518888	104.905556					
35	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899766		25.518888	104.905556					
36	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899768		25.518888	104.905556					
37	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899770		25.518888	104.905556					
38	Barracudasauroides panxianensis	species	244.34	244.14	Pelsonian	Falang Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Motani2008JVP		899772		25.518888	104.905556					
39	Mixosauridae	clade	244.34	244.14	Pelsonian	Guanling Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Young1965VP		391980		27.857	106.366997					
40	Mixosauridae	clade	244.34	244.14	Pelsonian	Guanling Formation	Nicoraella kockeli Conodont Biozone	Panxian, Guizhou, China	CN	Jiang2005P	GMPKU 2000008, GMPKU 2000009	916388		25.466667	104.833336					
41	Besanosaurus leptorhynchus	species	242.03	241.5	Illyrian	Besano Formation	Nevadites secedensis Ammonite Biozone	Besano, Lombardy, Italy	IT	DalSasso1996PL	BES SC 999	1134407		45.150002	9.233333					layer 65/107 Bindellini et at 2021 Tbl 1
42	Ophthalmosauridae	clade	149.59	147.2	Middle Volgian	Agardhfjellet Formation		Svalbard, Norway	SJ	Angst2010BSGF	SESNE 2010.0.1	1108489		78.336899	15.8325					
43	Platypterygiinae	clade	147.93	144.1	Portlandian			Ankilivalo, Madagascar	MG	Fernandez1997JVP	CM 47525	884094		-23.200001	44.383331					
44	Brachypterygius extremus	species	151.92	150.66	Tithonian	Kimmeridge Clay Formation	Pectinatites elegans–P. wheatleyensis ammonite biozones	Kimmeridge Bay, Dorset, UK	GB	McGowan1997JVP	BRSMG Ce 16696	884160		50.616669	-2.133333					
45	Brachypterygius extremus	species	151.04	150.66	Lower Tithonian	Kimmeridge Clay Formation	Pectinatites wheatleyensis Ammonite Biozone	Stowbridge, Cambridgeshire, UK	GB	McGowan1976CJES	SMC J68516	929816		52.636391	0.370833					
46	Brachypterygius pseudoscythica	species	150.19	149.59	Lower Volgian		Ilowaiskya pseudoscythica Ammonite Biozone	Ulyanovsk Province, Russia	RU	Efimov1998PZ	UPM 3/100	1094603		54.495556	48.388058					
