oid	﻿taxon	taxon_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	pbdb_occurrences	specimen_no	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
122	Chaohusaurus geishanensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Guishan, Anhui Province, China	CN	Motani2015JVP	1134402	IVPP V4001	31.616065	117.809467					locality from Guishan
123	Chaohusaurus geishanensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015JVP	1134403	AGM MT10010, GMPKU-P-1118	31.6206	117.819702					
124	Chaohusaurus chaoxianensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015JVP	1134401	GMPKU-P-3101	31.6206	117.819702				120	bed 633
125	Chaohusaurus chaoxianensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Zhou2017JVP	388713	AGM 2905	31.6206	117.819702					
126	Chaohusaurus chaoxianensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Zhou2017JVP	388714,1378800	GMPKU-P-3188	31.6206	117.819702				126	bed 617
127	Chaohusaurus chaoxianensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2017PRSBBS			31.6206	117.819702					bed 594
128	Chaohusaurus chaoxianensis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2017PRSBBS			31.6206	117.819702				118	bed 816
129	Chaohusaurus zhanjiawanensis	species	247.79	246.9	Spathian	Nanlinghu Formation	Triassospathodus homeri–T. triangularis conodont biozones	Zhangjiawan Village, Hubei Province, China	CN	Chen2013AGS	1412685	WHGMR V26001, WHGMR V26025	31.379999	111.620003					
130	Euichthyosauria	clade	243.43	239.1	Illyrian–Fassanian	Favret Formation		Humbolt Range, Nevada, USA	US	Leidy1868PANSP	906314		40.548058	-118.099998					
131	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation		American Canyon, Pershing County,  West Humbolt Range, Nevada, USA	US	Merriam1908MUC	467070	UCMP 9913, UCMP 9950	40.133331	-118.300003					
132	Cymbospondylus duelferi	species	243.43	239.1	Illyrian–Fassanian	Favret Formation, Fossil Hill Member	Gymnotoceras rotelliformisâMeeki ammonoid biozones	Favret Canyon, Pershing County, Nevada, USA	US	Klein2020JSP	1504406	LACM DI 158109	40.059166	-117.558891					Gymnotoceras rotelliformis–Meeki ammonoid biozones
133	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation		Favret Canyon, Pershing County, Nevada, USA	US	Merriam1905UCBDG	934002	UCMP 9154, UCMP 9954	38.768055	-119.720833					
134	Euichthyosauria	clade	243.43	239.1	Illyrian–Fassanian	Favret Formation		Favret Canyon, Pershing County, Nevada, USA	US	Merriam1908MUC	906287		40	-116.716667					ex Cymbospondylus piscosus
135	Cymbospondylus nichollsi	species	243.43	239.1	Illyrian–Fassanian	Favret Formation		Augusta Mountain, Pershing County, Nevada, USA	US	Frobisch2006ZJLS	1417529	FMNH PR2251	40.001389	-117.539444					
136	Cymbospondylus buchseri	species	242.03	241.5	Illyrian	Grenzbitumenzone	Nevadites secedensis Ammonite Biozone	Cava Tre Fontane, Monte San Giorgio, Canton Ticino, Switzerland	CH	Sander1989JVP	884857	PIMUZ T4351	45.911945	8.940556					
137	Mixosauridae	clade	243.43	239.1	Illyrian–Fassanian	Favret Formation		Humbolt Range, Nevada, USA	US	Merriam1906UCBDG	467071	UCMP 9873	40.133331	-118.300003					ex. Cymbospondylus natans
138	Euichthyosauria	clade	243.43	239.1	Illyrian–Fassanian	Favret Formation		Humbolt Range, Nevada, USA	US	Merriam1908MUC	1186493	UCMP 10620	39.578609	-117.532784					ex. Cymbospondylus nevadanus
139	Cymbospondylus	genus	248.2	246.8	Spathian	Thaynes Formation		Nounan Valley, Idaho, USA	US	Massare1994JVP	821002	IMNH 29108, IMNH 35011, IMNH 35012, IMNH 35013, IMNH 35014, IMNH 35015, IMNH 38918, IMNH 38919	42.483334	-111.416664					
140	Cymbospondylus	genus	243.43	239.1	Illyrian–Fassanian	Calcare del Clapsavon			IT	DallaVecchia2002BSPI	895629	MFSN 27414, MFSN 20570, MFSN 24993, teeth	46.383331	12.666667					
141	Cymbospondylus	genus	239.1	235.59	Upper Ladinian–Lower Carnian	Upper Saurian Niveau		Botneheia, Svalbard	SJ	Sander1992JP	908441	PMO 162.003	78.313889	16.484722					Formerly PIMUZ A/III 496
142	Cymbospondylus	genus	239.1	235.59	Upper Ladinian–Lower Carnian	Upper Saurian Niveau		Wiche Bukta, Svalbard	SJ	Sander1992JP	908443	PIMUZ A/III 554, PIMUX A/III 555	78.487503	18.905556					
143	Cymbospondylus	genus	241.5	237.0	Ladinian	Upper Muschelkalk		Baden-Württemberg, Germany	DE	Callaway1989NJGPA	944327		46.601391	11.725					several specimens in SMNS
144	Cymbospondylus	genus	247.04	246.8	Spathian	Lower Saurian Niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG			78.28112	16.62954					several specimens; location at approx. middle of outcrop
145	Shastasaurus	genus	241.5	237.0	Ladinian	Upper Muschelkalk		Baden-Württemberg, Germany	DE	Callaway1989NJGPA			46.601391	11.725					several specimens in SMNS
146	Dearcmhara shawcrossi	species	174.43	169.45	late Toarcian–Lower Bajocian	Bearreraig Sandstone Formation	Pleydellia aalensis–Stephanoceras humphriesianum aamonite biozones	Bearreraig Bay, Skye, Scotland (ex situ)	GB	Brusatte2015SJG	1250556	GLAHM 152378/1–4	57.02	-6.67					
147	cf. Ichthyosaurus communis	species			Lower Sinemurian	Hallaig Sandstone Member, Ardnish Formation	Caenisites turneri Ammonite Biozone	Suisnish, Skye, Scotland (ex situ)	GB	Brusatte2015SJG	1250553	SM 1976.1999.8	57.029999	-5.54					
148	cf. Ichthyosaurus communis	species			Lower Sinemurian	Hallaig Sandstone Member, Ardnish Formation	Caenisites turneri Ammonite Biozone	Suisnish, Skye, Scotland (ex situ)	GB	Brusatte2015SJG		NMS G. 2014.21.1	57.029999	-5.54					
149	Ichthyosauria	clade			late Bajocian–early Bathonian	Valtos Sandstone Formation		Valtos, Skye, Scotland	GB	Brusatte2015SJG	1250554		57.59528	-6.156389					
150	Ichthyosauria	clade			middle–late Bajocian	Duntulm Formation?	above Praeexogyra horizons	Staffin, Skye, Scotland	GB	Brusatte2015SJG	1250555	GLAHM 152379	57.23	-6.5					
151	Utatsusaurus hataii	species	247.14	247.04	Scythian	Osawa Formation	Subcolumbites Ammonite Biozone	Utatsu-cho, Miyagi Prefecture, Japan	JP	Shikama1978SRTUGa	800599	ICPS 95941	38.713612	141.556946					
152	Utatsusaurus hataii	species	247.04	246.8	Scythian	Osawa Formation	Arnautoceltites Ammonite Biozone	Utatsu-cho, Miyagi Prefecture, Japan	JP	Shikama1978SRTUGa			38.713612	141.556946					
153	Utatsusaurus hataii	species	247.14	247.04	Spathian	Osawa Formation	Subcolumbites Ammonoid Biozone	Ogatsu, Miyagi Prefecture, Japan	JP	Motani1998N	821274	UHR 30691, NSM-VP-20028	38.516666	141.46666					
154	Utatsusaurus	genus	248.2	246.8	Spathian	Vega-Phroso Siltstone Member, Sulphur Mountain Formation		Wapiti Lake, British Columbia, Canada	CA	Cuthbertson2014CJES	1420108	PRPRC 2007.08.81	54.941113	-122.397499					
155	Utatsusaurus	genus	248.2	246.8	Spathian	Vega-Phroso Siltstone Member, Sulphur Mountain Formation		Wapiti Lake, British Columbia, Canada	CA	Nicholls1993CJES	1420107	TMP 91.121.1	54.504166	-120.675552					
156	cf. Utatsusaurus	genus	247.14	247.04	Spathian	Lower Member, Prida Formation	Prohungarites gutstadti Ammonite Biozone	Fossil Hill, Humboldt Range, Pershing County, Nevada	US	Kelley2016P	1412645	USNM 559349	40.277779	-118.075836					
157	cf. Grippiidae	clade	247.14	247.04	Spathian	Lower Member, Prida Formation	Prohungarites gutstadti Ammonite Biozone	Fossil Hill, Humboldt Range, Pershing County, Nevada	US	Kelley2016P	1412647	USNM 559350	40.277779	-118.075836					
158	Thaisaurus chonglakmanii	species	247.91	247.39	Early Triassic	Phukaotong Dolomite Member, Chaiburi Formation	Columbites parisianus Ammonoid Biozone	Khao Thong, Phattalung, Thailand	TH	Mazin1991CRASS2MPCSUST,Tongtherm2020PR	1419474	TF2454	7.736667	100.066666					
159	Grippia longirostris	species	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Wiman1929BGIU,Hurum2018NJG	363117	PMU R443, PMU R472, PMU R447	78.24944	17.83380					Location from Hurum et al. (2018) fig. 1
160	Grippia longirostris	species	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU		PMU R445, PMU R444, PMU R452, PMU R449, PMU R473, PMU R453, PMU 474, PMU446, PMU R450, PMU R448, PMU R454, PMU R456, PMU R451	77.57297	18.09185					Location from Mazin (1981) fig. 1
161	Ichthyosauria	clade	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Vikinghøegda, Spitsbergen, Svalbard	SJ	Cox1973GM,Maxwell2013G		CASP H1496	78.24944	16.80844					Location from Cox & Smith (1973) fig. 2, possibly Mixosauridae
162	Omphalosaurus	genus	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Vikinghøegda, Spitsbergen, Svalbard	SJ	Wiman1910BGIUa,Maxwell2013G		PMU 24627 [R196],CASP S2579/S2582	78.24944	16.80844					Originally Omphalosaurus merriami
163	Phalarodon	genus			Anisian	Botneheia Formation		Central Spitsbergen	SJ	Cox1973GM,Maxwell2013G		C6920-74	78.64603	14.30065					Location from Cox & Smith (1973) fig. 2, possibly Mixosauridae
164	Ichthyosauria	clade	239.1	235.59	Upper Ladinian–Lower Carnian	Upper Saurian Niveau		Spitsbergen	SJ	Maxwell2013G		NRM-PZ R193							
165	Shastasauridae	clade	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation		Spitsbergen	SJ	Maxwell2013G		NRM-PZ R1, NRM-PZ R93							
166	Ichthyosauria	clade	235.59	228.45	Julian–Tuvalian	De Geerladen Member, Kapp Toscana Formation		Hoben, Svalbard	SJ	Cox1973GM		CASP X2151–2337, X2353–2395	76.581036	25.241829					Location from centre of Hopen
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	1420184	PMO 229.778, PMO 229.779, PMO 229.780, PMO 229.782, PMO 229.781	78.28112	16.62954					
168	Ichthyosauria	clade	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG		PMO 229.733, PMO 229.736, PMO 229.737, PMO 229.738, PMO 230.178, PMO 230.180, PMO 230.179, PMO 229.784, PMO 230.181, PMO 229.787, PMO 229.793, PMO 230.160, PMO 230.182, PMO 230.153, PMO 230.182, PMO 230.163-230.172, PMO 230.157, PMO 230.173-230.176, PMO 229.785, PMO 229.790	78.28112	16.62954					
169	Omphalosaurus	genus	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Marmierfjellet, Spitsbergen, Svalbard	SJ	Ekeheien2018NJG	1529048	PMO  229.922, PMO 229.921, PMO 229.924, PMO 229.923, PMO 229.916, PMO 229.917, PMO 229.919, PMO 229.918, PMO 229.920	78.30521	16.60118					
170	Ichthyopterygia	clade	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Marmierfjellet, Spitsbergen, Svalbard	SJ	Ekeheien2018NJG		PMO 229.903, PMO 229.905, PMO 229.904, PMO 229.906, PMO 229.907, PMO 229.908, PMO 229.909, PMO 229.913, PMO 229.914, PMO 229.911, PMO 229.912, PMO 230.135, PMO 230.137, PMO 230.138	78.30521	16.60118					
171	Grippia longirostris	species	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Mazin1981BMNHNP	1420037	MNHN SVT 201, MNHN SVT 202	78.24944	17.83380					Location from Maxin (1981) fig. 1
172	Quasianosteosaurus vikinghoegdai	species	248.2	248.09	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Vikinghøgda, Spitsbergen	SJ	Maisch2003NJGPAa	1420109	MNHN SVT 331	78.28171	16.80844					Location of Vikinghøgda
173	Ichthyosauria	clade	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Vikinghøgda, Spitsbergen	SJ	Maisch2003NJGPA		MNHN A35 Viking 1969	78.28171	16.80844					Location of Vikinghøgda
174	Ichthyosauria	clade	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Heimenfjellet, Spitsbergen	SJ	Maisch2003NJGPA		MNHN A28 VW Heimen, MNHN A27 Ibsen 1964,  MNHN SVT 293, MNHN SVT 222, MNHN SVT 223, MNHN SVT 245, MNHN SVT 226, MNHN SVT 247	78.58640	15.48564					Location of Heimenfjellet, also 'Ibsen' locality
175	Ichthyosauria	clade	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Kongressfjellet, Spitsbergen	SJ	Maisch2003NJGPA		MNHN KOD Kongress 1969, MNHN KOL Kongress 1969, MNHN SVT 221?	78.55388	15.35574					Location of Kongressfjellet
176	Mixosauridae	clade	239.1	235.59	Upper Ladinian–Lower Carnian	Upper Saurian Niveau		Saurieberget, Spitsbergen	SJ	Hulke1873BTKSVH		NRM 33	78.50222	15.62916					Holotype of Mixosaurus nordenskioeldii
177	Phalarodon callawayi	species	243.43	241.85	Illyrian–Fassanian	Fossil Hill Member, Favret Formation		Fossil Hill, Augusta Mountains, Nevada	US	Schmitz2004PAP	1419160	CMC VP 7275, FMNH PR 1804	40.05605	-117.53272					
178	Phalarodon callawayi	species	243.43	241.85	Illyrian–Fassanian	Fossil Hill Member, Favret Formation		Humbolt Range, Nevada	US	Schmitz2004PAP		UCMP 11229	40.548058	-118.099998					
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation		Spitsbergen	SJ	Schmitz2004PAP		PMU R103, PMU R184, PMU R187, PMU R188, PMU R189, PMU R191, PMU R192, PMU R475, PMU R492, NRM R34							
180	Mixosauridae	clade	248.2	239.1	Spathian–early Ladinian	Sulphur Mountain Formation		Locality D, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	1419118	TMP 89.127.7, TMP 89.127.21, TMP 89.127.23, TMP 89.127.25, TMP 89.127.26, TMP 89.127.28, TMP 91.122.1, TMP 91.122.4, TMP 91.122.5, TMP 91.122.9	54.51669	-120.72386					
181	Mixosauridae	clade	246.8	237.0	Middle Triassic	Sulphur Mountain Formation		Locality B, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	1419119	TMP 89.129.1, TMP 89.129.2, TMP 91.120.2, TMP 91.120.8, TMP 91.120.16	54.53088	-120.73941					
182	Mixosauridae	clade	246.8	237.0	Middle Triassic	Sulphur Mountain Formation		Locality T, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 88.19.17, TMP 88.99.18, TMP 89.126.7, TMP 89.126.9, TMP 89.126.11, TMP 89.126.17, TMP 91.123.6	54.50839	-120.70418					
183	Phalarodon callawayi	species	248.2	239.1	Spathian–early Ladinian	Sulphur Mountain Formation		Locality D, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 89.127.15	54.51669	-120.72386					
184	Phalarodon cf. fraasi	species	248.2	239.1	Spathian–early Ladinian	Sulphur Mountain Formation		Locality D, Wapiti Lake, British Columnbia	CA	Schmitz2005JVP	1419116	TMP 89.127.14	54.51669	-120.72386					
185	Phalarodon callawayi	species	246.8	237.0	Middle Triassic	Sulphur Mountain Formation		Locality T, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 88.99.18, TMP 89.126.4, TMP 89.126.5, TMP 89.126.12	54.50839	-120.70418					
186	Phalarodon callawayi	species	246.8	237.0	Middle Triassic	Sulphur Mountain Formation		Locality B, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 91.120.7	54.53088	-120.73941					
187	Phalarodon callawayi	species	248.2	246.8	Spathian	Vega-Phroso Siltstone Member, Sulphur Mountain Formation		Locality E, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 91.121.2	54.50321	-120.67516					
188	Mixosauridae	clade	248.2	246.8	Spathian	Vega-Phroso Siltstone Member, Sulphur Mountain Formation		Locality N, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP		TMP 91.117.1, TMP 91.117.2, TMP 91.117.4	54.53737	-120.76904					
189	Phalarodon fraasi	species	243.43	241.85	Illyrian–Fassanian	Fossil Hill Member, Favret Formation		Humbolt Range, Nevada	US	Merriam1910UCBDG	467073	UCMP 9853, UCMP 9924	40.28931	-118.08100					
190	Phalarodon fraasi	species	239.1	237.0	Longobardian	Blanknuten Member, Botneheia Formation	Indigirites tozeri Ammonoid Biozone	Botneheia, Spitsbergen	SJ	Okland2018NJG		PMO 210.122, PMU 24555, PMU 24561, PMU 24579, PMU R102, PMU R516, PMU R518, MNHN SVT 328	78.31175	16.40710					
191	Mixosauridae	clade	239.1	237.0	Longobardian	Blanknuten Member, Botneheia Formation	Indigirites tozeri Ammonoid Biozone	Edgeøya, Spitsbergen	SJ	Hurum2014NPDB		PMO 219.250	77.82316	21.51128					
192	Phalarodon fraasi	species	244.34	244.14	Pelsonian	Upper Member, Guanling Formation	Nicoraella germanicus Conodont Biozone	Yangjuan Village, Xinmin District, Panxian County, Guizhou Province	CN	Jiang2007JP	915088	GMPKU-P-1032	25.466667	104.833336					
193	Phalarodon cf. fraasi	species	246.8	237.0	Middle Triassic	Llama member, Sulphur Mountain Formation		Locality B, Wapiti Lake, British Columbia	CA	Callaway1989CJES	1529521	TMP 86.153.11, TMP 86.153.12	54.53088	-120.73941					
194	Ichthyosauria	clade	248.2	239.1	Spathian–Middle Triassic	Sulphur Mountain Formation		Wapiti Lake, British Columbia	CA	Callaway1989CJES		TMP 84.56.6	54.56816	-120.77854					ID as Pessosaurus sp.; loaction at Wapiti Lake
195	Mixosauridae	clade	248.2	246.8	Spathian	Vega-Phroso Silstone Member, Sulphur Mountain Formation		Locality N, Wapiti Lake, British Columnbia	CA	Callaway1989CJES	1529520	TMP 83.218.6, TMP 83.218.5	54.53737	-120.76904					
196	Mixosauridae	clade	248.2	246.8	Spathian	Vega-Phroso Silstone Member, Sulphur Mountain Formation		Locality F, Wapiti Lake, British Columnbia	CA	Callaway1989CJES		TMP 83.216.1	54.52217	-120.73822					
197	Mixosauridae	clade	246.8	237.0	Middle Triassic	Llama member, Sulphur Mountain Formation		Locality B, Wapiti Lake, British Columbia	CA	Callaway1989CJES		TMP 86.153.1, TMP 86.153.2, TMP 86.153.3, TMP 86.153.6, TMP 86.153.4, TMP 86.153.7	54.53088	-120.73941					
198	Phalarodon major	species	244.34	243.43	Pelsonian	Lower Muschelkalk		Aach, Freudenstadt, Baden-Württemberg	DE	Maisch2001NJGPAa	1419121	SMNS 7631	48.46662	8.47831					Location in Aach
199	Phalarodon major	species	244.34	243.43	Pelsonian	middle Wellenkalk Formation, Lower Muschelkalk		Schwaderlock, Kanton Aarrgau	CH	Maisch2005NJGPM		NMB S Tr 12	47.58584	8.14630					Location of Schwaderloch
200	Platypterygius hercynicus	species			Upper Aptian	'Neocomer Erhorizont'		Salzgitter, Lower Saxony	DE	Kuhn1946BNGBb	1006711	SMSS 'SGS'	52.150002	10.333333					
201	Platypterygius hercynicus	species			late Albian		Callihoplites auritus Ammonoid Subzone, Mortoniceras inflatum Ammonoid Zone	Saint−Jouin−Bruneval, Seine−Maritime department	FR	Fischer2012APP	942007, 1273653	MHNH 2010.4	49.578609	0.153056					
202	Kyhytysuka sachicarum	species			Barremian–Aptian	Acrillolitas Abigarradas Member		Loma Pedro Luis, 1.5 km NW Villa de Leyva	CO	Paramo1997RI,Cortes2021JSP	1123401	DON-19671	5.65427	-73.53025					ex. Platypterygius sachicarum holotype
203	Kyhytysuka sachicarum	species			uppermost Barremian	Acrillolitas Abigarradas Member		El Roble locality, Loma La Cabrera, 'Rinca Los Morros', Villa de Leyva, Boyacá, Colombia	CO	Cortes2021JSP		CIP-GA-01042014	5.665383	-73.538417					
204	Auroroborealia incognita	species	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 5/250, ZIN PH 6/250, ZIN PH 8/250, ZIN PH 20/250, ZIN PH 23/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
205	Auroroborealia incognita	species	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 3/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
206	Shastasauridae	clade	237.0	235.59	lower Carnian	Indigirohalobia popowi beds		Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 1/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
207	Shastasauridae	clade	237.0	235.59	lower Carnian	Indigirohalobia popowi beds		Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 10/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
208	Shastasauridae?	clade	237.0	233.6	lower Carnian		Arctophyllites taimyrensis Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 13/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
209	Shastasauridae?	clade	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 15/250, ZIN PH 19/250, ZIN PH 21/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
210	Ichthyosauria	clade	233.6	228.45	upper Carnian?			Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 2/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
211	Ichthyosauria	clade	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 7/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
212	Euichthyosauria	clade	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 9/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers; Euichthyosauria taxon C
213	Euichthyosauria	clade	226.54	222.5	lower Norian		Pinacoceras verchojanicum Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 22/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers; Euichthyosauria taxon B
214	Euichthyosauria	clade	237.0	233.6	lower Carnian		Arctophyllites taimyrensis Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 16/250, ZIN PH 17/250, ZIN PH 18/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers; Euichthyosauria taxon C
215	Euichthyosauria	clade	217.52	214.07	middle Norian?			Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 14/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers; Euichthyosauria taxon B?
216	Ichthyosauria	clade	237.0	235.59	lower Carnian	Indigirohalobia popowi beds		Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 11/250, ZIN PH 12/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
217	Shastasauridae?	clade	233.6	231.25	upper Carnian		Yakutosurenites pentastichus Ammonoid Biozone	Kotelny Island, New Siberian Islands, Russia	RU	Zverkov2021EESTRSE		ZIN PH 25/250	75.515	138.927					coordinates taken around confluence of Balyktakh and Tikhaya rivers
218	Cymbospondylus youngorum	species	243.43	241.85	middle Anisian	Fossil Hill Member, Favret Formation	Nevadisculites taylori Ammonoid Biozone	Favret Canyon, Augusta Mountains, Pershing County, Nevada, USA	US	Sander2021S		LACM DI 157871							
219	Thalattoarchon saurophagis	species	243.43	241.85	middle Anisian	Fossil Hill Member, Favret Formation	Nevadisculites taylori Ammonoid Biozone	Favret Canyon, Augusta Mountains, Pershing County, Nevada, USA	US	Frobisch2013PNAS	1095497	FMHN PR 3032							
220	Ichthyosauria	clade			Callovian					Philippi1895AUMCL									ex. Ichthyosaurus immanis
221	Ichthyosauria	clade			Callovian					Philippi1895AUMCL									ex. Ichthyosaurus leucopetraeus
222	Platypterygiinae	clade			upper Tithonian–Berriasian	Vaca Muerta Formation	Windhauseniceras internispinosum Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES		MCNAM-PV 5097	-35.083333	-69.75					Table 1
223	Ichthyosauria	clade			upper Tithonian–Berriasian	Vaca Muerta Formation	Substeueroceras koeneni Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES		DU 19-XI-16-2	-35.083333	-69.75					Table 1
224	Ichthyosauria	clade			upper Tithonian–Berriasian	Vaca Muerta Formation	Corongoceras alternans Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES		DU 19-XI-16-1, DU 17-XI-16-12, DU 17-XI-16-11, DI 17-XI-16-1, DU 17-XI-16-5, DU 17-XI-16-2, DU 17-XI-16-8, DU 17-XI-16-3	-35.083333	-69.75					Table 1
225	Ichthyosauria	clade			upper Tithonian–Berriasian	Vaca Muerta Formation	Aulacosphinctes proximus–Windhauseniceras internispinosum ammonoid biozones	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES		DU 16-XI-16-2	-35.083333	-69.75					Table 1
226	Ichthyosauria	clade			upper Tithonian–Berriasian	Vaca Muerta Formation	Aulacosphinctes proximus Ammonoid Biozone	Arroyo Duranzo, Mendoza, Neuquén, Argentina	AR	Fernandez2019JSAES		DU 16-XI-16-1	-35.083333	-69.75					Table 1
