occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc_1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
68301,occ,NA,NA,4884,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,NA,genus,36558,Sinemurian,NA,199.3,190.8,Dennison et al.,1990,299,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,-133.151382,53.926945,NA,Kennecott Point,NA,NA,CA,British Columbia,NA,NA,seconds,outcrop,west coast of Graham Island,gp_mid,-79.95,35.71,128,CA,NA,Sandilands,NA,NA,group of beds,Canadensis,NA,NA,NA,NA,NA,NA,"ichthyosaur slab is from near a ""lithologically identical"" bed with ammonites","siltstone, sandstone, and some limestone with infrequent thin tuff beds",siltstone,NA,NA,NA,NA,sandstone,NA,NA,NA,NA,marine indet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,apparently no other taxa are present,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
150316,occ,NA,NA,13344,Mixosaurus sp.,genus,36562,NA,Mixosaurus,NA,genus,36562,Anisian,Ladinian,247.2,237,Sander,1988,5985,Chordata,Reptilia,Ichthyosauria,Mixosauridae,Mixosaurus,NA,NA,NA,NA,9.233333,45.150002,NA,Monte San Giorgio nothosaurs,NA,NA,CH,NA,NA,based on nearby landmark,minutes,basin,"Monte San Giorgio, southern Switzerland. Coordinates for nearby Tessin/Ticino River.",gp_mid,33.28,16.98,307,CH,NA,Monte San Giorgio bituminous shales,NA,NA,group of beds,NA,NA,NA,NA,NA,NA,NA,NA,bituminous shales (complete lithology described in Rieber & Sorbini),"""shale""",NA,NA,carbonaceous,NA,NA,NA,NA,NA,NA,offshore indet.,NA,"""the sediments are fully marine and suggest a coast several kilometers away""",macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,concentrate,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,"field collection,survey of museum collection",NA,NA,800 specimens,NA,NA,NA,NA,"Sander lists two distinct species of <i>Neusticosaurus</i> without naming them, noting that they come from distinct stratigraphic levels but without providing any further information.",marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
256197,occ,NA,NA,24862,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,NA,unranked clade,36543,Tenuicostatum,NA,183,182,Haubold,1990,6968,Chordata,Reptilia,Ichthyosauria,NA,NA,NA,NA,NA,NA,13.05,54.133331,NA,"Lehmahagen, Grimmen",NA,Emausaurus type site,DE,Mecklenburg-Vorpommern,Röstock,based on political unit,seconds,NA,"E of the small village of Lehmahagen near Grimmen, approx.. 20 km W of Greifswald, Röstock district, eastern Germany.",gp_mid,27.09,45.36,315,DE,NA,NA,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,"unnamed ""bituminous shale bed"" equivalent to Posidonian Shale (Posidonienschiefer); Lias epsilon level = lowest Toarcian; also lower part of Harpoceras falcifer Zone","bituminous shale (""bituminösen Schiefer"")","""shale""",NA,NA,carbonaceous,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,"body,concretion",good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,survey of museum collection,NA,"some genera,some macrofossils,species names",NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293807,occ,NA,NA,28009,Undorosaurus gorodischensis,species,173204,NA,Undorosaurus gorodischensis,NA,species,173204,Late Jurassic,NA,163.5,145,Efimov,1999,7674,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Undorosaurus,NA,NA,1,specimens,48.366669,54.616669,UPM EP-II-23 (744),Volga region near Ul'yanovsk C. subdites zone,NA,NA,RU,Ul'yanovsk,NA,based on nearby landmark,minutes,local area,"Volga region, near Undory",gp_mid,49.63,45.12,302,RU,NA,NA,NA,NA,NA,Craspedites subdites,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,disarticulated skeleton,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293808,occ,NA,NA,28010,n. gen. Undorosaurus n. sp. gorodischensis,species,173204,NA,Undorosaurus gorodischensis,NA,species,173204,Tithonian,NA,152.1,145,Efimov,1999,7674,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Undorosaurus,NA,NA,3,specimens,48.739445,54.324444,"UPM EP-II-20 (527), UPM EP-II-21 (1073), UPM EP-II-22 (1075)",Volga region at Gorodische near Ul'yanovsk E. nikitini zone,NA,NA,RU,Ul'yanovsk,NA,based on nearby landmark,seconds,local area,"Volga region, near Undory",gp_mid,49.21,44.61,302,RU,NA,NA,NA,NA,NA,Epivirgatites nikitini,NA,NA,NA,NA,NA,NA,'Middle Voligan' (=Tithonian),NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragmentary skeletons: skull bones, humeral and pelvic girdles, vertebral centra and fore and hind limbs",taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293809,occ,NA,NA,28011,Undorosaurus n. sp. nessovi,species,432079,NA,Undorosaurus nessovi,NA,species,386525,Late Jurassic,NA,163.5,145,Efimov,1999,7674,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Undorosaurus,NA,NA,2,specimens,48.366669,54.616669,"UPM EP-II-24 (785), UPM EP-II-25 (900)",Volga region near Ul'yanovsk V. virgatus zone,NA,NA,RU,Ul'yanovsk,NA,based on nearby landmark,minutes,local area,"Volga region, near Undory",gp_mid,49.63,45.12,302,RU,NA,NA,NA,NA,NA,Virgatites virgatus,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293810,occ,NA,NA,28012,Undorosaurus n. sp. khorlovensis,species,386528,NA,Undorosaurus khorlovensis,NA,species,386528,Late Jurassic,NA,163.5,145,Efimov,1999,7674,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Undorosaurus,NA,NA,2,specimens,37,55,"UPM EP-II-27 (870), UPM EP-II-28 (1090)",Moscow Region Ichthyosaur V. virgatus zone,NA,NA,RU,Moskva,NA,based on nearby landmark,degrees,local area,Moscow Region,gp_mid,41.1,42.81,302,RU,NA,NA,NA,NA,NA,Virgatites virgatus,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293811,occ,NA,NA,28013,Undorosaurus khorlovensis,species,386528,NA,Undorosaurus khorlovensis,NA,species,386528,Late Jurassic,NA,163.5,145,Efimov,1999,7674,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Undorosaurus,NA,NA,1,specimens,37,55,UPM EP-II-30 (1089),Moscow Region Ichthyosaur K. fulgens zone,NA,NA,RU,Moskva,NA,based on nearby landmark,degrees,local area,Moscow Region,gp_mid,41.1,42.81,302,RU,NA,NA,NA,NA,NA,Kachpurites fulgens,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dentary with teeth,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
293866,occ,NA,NA,28041,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,NA,unranked clade,36543,Late Callovian,Early Oxfordian,164.7,155.7,Chure,1993,7679,Chordata,Reptilia,Ichthyosauria,NA,NA,NA,NA,NA,NA,-109.334724,40.406944,may be Opthalmosaurus,McFarley Flat,NA,NA,US,Utah,Uintah,based on nearby landmark,seconds,outcrop,"McFarley Flat, E. of Brush Creek outside W. Dinosaur National Monument boundary",gp_mid,-40.08,28.01,101,US,FED,Stump,NA,Redwater,member,NA,NA,NA,NA,NA,NA,NA,"Original collection indicated ""Curtis Fm"" which has been revised to Stump Fm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vertebrae, centra and intervertebral disks",taxonomic,survey of museum collection,NA,"all macrofossils,some genera,difficult macrofossils",55 specimens,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
337737,occ,NA,NA,31773,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,NA,genus,36558,Rhaetian,NA,208.5,201.3,Corroy,1934,8547,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,6.061389,43.25639,NA,"Saint Laurent, near Cuers",NA,"St-Laurent, Saint-Laurent, Cuers",FR,Provence-Alpes-Cote d'Azur Region,Var Departement,estimated from map,seconds,outcrop,"This site is located along the D43 road around 'Saint-Laurens', Var (83), France",gp_mid,NA,NA,coordinates not computable using this model,FR,NA,NA,NA,NA,group of beds,NA,NA,NA,NA,NA,NA,NA,"""Rhaetian bone-bed""","""The section corresponds to a succession of Triassic bioclastic limestone beds containing numerous remains of chondrichthyans, teleosts, gastropods, crinoids and bivalves, in association with ferruginous ooliths and quartz. The bioclastic limestone is interbedded with numerous argillaceous beds (Fig. S1 in ESM), as in other contemporaneous localities in the region (Caron 1967)"" (Fischer et al. 2014)","""limestone""","quartzose,ooidal,shelly/skeletal",lithified,calcareous,Y,"""shale""",NA,NA,NA,Y,marine indet.,NA,NA,"macrofossils,mesofossils",NA,some,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,?Corroy,>1934,Discovered before Corroy 1934.,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
337746,occ,NA,NA,31774,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,NA,genus,36558,Rhaetian,NA,208.5,201.3,Corroy,1934,8547,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,6.033333,43.216667,NA,Sollies-Toucas,NA,Sollies,FR,Provence-Alpes-Cote d'Azur Region,Var Departement,estimated from map,minutes,local area,The collection was made both about 1km to the North and 1 km to South of the city Sollies-Toucas.,gp_mid,NA,NA,coordinates not computable using this model,FR,NA,NA,NA,NA,group of beds,NA,NA,Bone-Bed,NA,NA,NA,NA,Bone-bed,NA,conglomerate,NA,lithified,calcareous,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,"macrofossils,mesofossils",NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
343565,occ,23642,NA,32321,Baptanodon n. sp. robustus,species,174057,recombined as,Ophthalmosaurus robustus,NA,species,174057,Bathonian,Oxfordian,168.3,157.3,Gilmore,1905,8710,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,NA,NA,1,individuals,-106.780556,43.649166,CM 919,"Red Fork, Powder River",NA,Baptanodon robustus type site,US,Wyoming,Johnson,based on nearby landmark,seconds,small collection,"Red Fork of Powder River, Big Horn County (now Johnson County), Wyoming.",gp_mid,-35.56,30.95,101,US,NA,Sundance,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,"described here only as ""marine beds of the Jurassic""",NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,some,some,NA,NA,NA,NA,NA,body,good,NA,snapshot,NA,NA,NA,NA,NA,frequent,NA,none,NA,taxonomic,"selective quarrying,mechanical,field collection",CM,NA,NA,NA,W. H. Utterback,1902,Collected by W. H. Utterback in 1902 for Carnegie Museum.,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
361674,occ,NA,NA,34267,n. gen. Omphalosaurus n. sp. nevadanus,species,54114,NA,Omphalosaurus nevadanus,NA,species,54114,Middle Triassic,NA,247.2,237,Merriam,1906,9007,Chordata,Reptilia,Ichthyosauria,Omphalosauridae,Omphalosaurus,NA,NA,2,individuals,-118.300003,40.133331,UCMP 1019,American Canyon (UCMP/Stanford),NA,Omphalosaurus nevadanus type site,US,Nevada,Pershing,based on nearby landmark,minutes,local area,"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon",gp_mid,-39.08,24.35,101,US,FED,Prida,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""limestone""",NA,NA,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,occasional,NA,NA,NA,taxonomic,"selective quarrying,field collection",UCMP,NA,NA,NA,V. C. Osmont,1902,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
363117,occ,NA,NA,34401,n. gen. Grippia n. sp. longirostris,species,170764,NA,Grippia longirostris,NA,species,170764,Olenekian,NA,251.2,247.2,Wiman,1929,9052,Chordata,Reptilia,Ichthyosauria,Grippiidae,Grippia,NA,NA,1,specimens,20,78,NA,Agardh Bay,NA,NA,NO,Spitzberger,NA,based on nearby landmark,minutes,NA,Found east of Ivory Glacier,gp_mid,NA,NA,coordinates not computable using this model,NO,NA,Vikinghøgda,NA,Vendomdalen,bed,NA,Spitsbergen,Grippia niveau bonebed,NA,NA,NA,NA,Grippia niveau bonebed\r\nalso Spathian,NA,ironstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
384322,occ,NA,NA,36568,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,NA,unranked clade,36543,Middle Oxfordian,NA,161.2,155.7,Buffetaut and Thierry,1977,9743,Chordata,Reptilia,Ichthyosauria,NA,NA,NA,NA,NA,NA,4.55,47.849998,many fragments,Etrochey Oxfordian vertebrate layer (Côte-d'Or),NA,"Bourgogne, Burgandy, Cote-d'Or",FR,Bourgogne,Côte-d'Or,NA,minutes,local area,"Locality is Etrochey, well-known for plant fossils.",gp_mid,20.75,30.85,305,FR,NA,NA,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,"Plicatilis zone\nThe ferruginous oolite immediately overlies the Callovian limestones of the Dalle nacrée, but is separated by an important gap [unconformity]. Mixed muds/marl overlie the oolite.\n","A veritable conglomeration of fossils, some decimeters of ferruginous ""calcaires"" and marls. Referred to as a ferrugionous oolite. Very hard, bluish gray, micritic, iron oxides, aleropelitiques aggregates, oolites, rare bioclasts (Entroques=crinoid stems and pelecypods).","""limestone""","ferruginous,ooidal,gray,blue",lithified,NA,NA,NA,NA,NA,NA,NA,shallow subtidal indet.,NA,"""infratidal""",macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,dispersed,NA,NA,NA,frequent,NA,NA,"All of the bones are fragmentary but do not appear to have been transported far. After death, the large swimming reptiles fell to the seafloor where their flesh was destroyed by predators and microorganisms. The bones remained in place and were preserved in good condition, then when the current strength increased, the bones were exhumed, broken, dispersed, and reburied. Fossils including vertebrates are laid out flat and regularly on some benches. Oolites are allocthonous.",taxonomic,survey of museum collection,NA,"some genera,difficult macrofossils",NA,NA,NA,NA,Etrochey specimens are from the collection of J. Beaudoin. Localities around Dijon also yield typical invertebrates and possibly vertebrates - those specimens are not listed specifically but are said to be housed in the Collection of l'Institut des Sciences de la Terre de l'Université de Dijon.,Fossils other than vertebrates are the listed as occurring in the ferruginous oolite.,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
388713,occ,NA,NA,37180,Chensaurus chaoxianensis,species,150076,NA,Chensaurus chaoxianensis,NA,species,150075,Spathian,NA,251.3,247.2,Motani and You,1998,9957,Chordata,Reptilia,Ichthyosauria,Grippiidae,Chaohusaurus,NA,NA,1,specimens,117,33,Type specimen is P45-H85-25,Chensaurus chaoxianensis type locality,NA,"P45-H85-25, Majia-Shan",CN,Anhui,Chao,based on political unit,degrees,local area,"Type locality is located at Majia-Shan, Chao County, Anhui Province, P.R. China. More detailed stratigraphic information can be found in Chen (1985), which is in Chinese.",gp_mid,116.49,7.27,604,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,survey of museum collection,NA,NA,NA,NA,NA,NA,"Anhui Geological Museum (AGM), Hefei, China\r\nIn ref. 9957, Motani describes two additional specimens of C. chaoxianensis, saying they are from the same biostratigraphic zone of the type locality.",NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
388714,occ,NA,NA,37181,Chensaurus chaoxianensis,species,150076,NA,Chensaurus chaoxianensis,NA,species,150075,Spathian,NA,251.3,247.2,Motani et al.,1996,9958,Chordata,Reptilia,Ichthyosauria,Grippiidae,Chaohusaurus,NA,NA,1,specimens,117,33,"""tentatively identified as""",50 km southwest of C. chaoxianensis type locality,NA,"Chensaurus, WCRAI 313",CN,Anhui,NA,based on political unit,degrees,small collection,"Anhui Province, China, about 50 km southwest of the type locality of Chensaurus (Chen 1985).",gp_mid,116.49,7.27,604,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spathian, Lower Triassic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,The body outline is partially preserved in the dorsal region. Gastralia are preserved in situ.,taxonomic,field collection,NA,NA,NA,NA,NA,NA,Wuwei Cultural Relic Administrative Institute (specimen or locality number = WCRAI 313).,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
391980,occ,NA,NA,37606,Mixosaurus n. sp. maotaiensis,species,100419,recombined as,Barracudasaurus maotaiensis,NA,species,100419,Middle Triassic,NA,247.2,237,Young,1965,24294,Chordata,Reptilia,Ichthyosauria,Mixosauridae,Barracudasaurus,NA,NA,1,individuals,106.366997,27.857,"two coracoids, isolated vertebrae, ribs, a damaged humerus and a scapula",Jenhui,NA,NA,CN,Guizhou,NA,based on nearby landmark,3,outcrop,"""Yueliangtien, Hsinchiao, north of Maotai, Jenhui Hsien, N. Kweichou almost three hundred kilometers due north of Shingyi""; Another Romanization of the locality name: Youeliangdian Xinjiao Maodai Renhui Guizhou",gp_mid,109.25,-6.45,611,CN,NA,NA,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,lower middle Triassic,NA,"""limestone""",gray,lithified,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,some,NA,partial skeletons,NA,NA,NA,body,medium,parautochthonous,NA,NA,NA,random,rare,NA,occasional,NA,NA,NA,taxonomic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
407329,occ,NA,NA,39179,Ichthyosauria ? indet.,unranked clade,36543,NA,Ichthyosauria,NA,unranked clade,36543,Norian,NA,228,208.5,Stewart et al.,1997,10577,Chordata,Reptilia,Ichthyosauria,NA,NA,NA,NA,NA,NA,-110.747223,28.952778,NA,"Loc. 1B - JS-92-5/ JS-92-5A, Sierra Santa Teresa, section 7",NA,NA,MX,Sonora,NA,stated in text,seconds,small collection,"locality in Sierra Santa Teresa, stratigraphic section 7",gp_mid,-42.9,9.45,104,MX,NA,NA,NA,NA,group of beds,NA,NA,NA,NA,NA,NA,NA,"Subunit 5 of Upper Triassic and Lower Jurassic unit, belongs either to the Barranca Group or intermediate between the Barranca Group and Antimonio Formation",NA,lime mudstone,NA,NA,NA,NA,wackestone,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biostratigraphic,field collection,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
467069,occ,NA,NA,34267,Cymbospondylus sp.,genus,36550,NA,Cymbospondylus,NA,genus,36550,Middle Triassic,NA,247.2,237,Merriam,1906,9007,Chordata,Reptilia,Ichthyosauria,Cymbospondylidae,Cymbospondylus,NA,NA,24,specimens,-118.300003,40.133331,NA,American Canyon (UCMP/Stanford),NA,Omphalosaurus nevadanus type site,US,Nevada,Pershing,based on nearby landmark,minutes,local area,"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon",gp_mid,-39.08,24.35,101,US,FED,Prida,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""limestone""",NA,NA,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,occasional,NA,NA,NA,taxonomic,"selective quarrying,field collection",UCMP,NA,NA,NA,V. C. Osmont,1902,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
467070,occ,NA,NA,34267,Cymbospondylus petrinus,species,170850,NA,Cymbospondylus petrinus,NA,species,170850,Middle Triassic,NA,247.2,237,Merriam,1906,9007,Chordata,Reptilia,Ichthyosauria,Cymbospondylidae,Cymbospondylus,NA,NA,6,specimens,-118.300003,40.133331,NA,American Canyon (UCMP/Stanford),NA,Omphalosaurus nevadanus type site,US,Nevada,Pershing,based on nearby landmark,minutes,local area,"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon",gp_mid,-39.08,24.35,101,US,FED,Prida,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""limestone""",NA,NA,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,occasional,NA,NA,NA,taxonomic,"selective quarrying,field collection",UCMP,NA,NA,NA,V. C. Osmont,1902,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
467071,occ,NA,NA,34267,Cymbospondylus natans,species,285199,NA,Cymbospondylus natans,NA,species,285199,Middle Triassic,NA,247.2,237,Merriam,1906,9007,Chordata,Reptilia,Ichthyosauria,Cymbospondylidae,Cymbospondylus,NA,NA,3,specimens,-118.300003,40.133331,NA,American Canyon (UCMP/Stanford),NA,Omphalosaurus nevadanus type site,US,Nevada,Pershing,based on nearby landmark,minutes,local area,"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon",gp_mid,-39.08,24.35,101,US,FED,Prida,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""limestone""",NA,NA,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,occasional,NA,NA,NA,taxonomic,"selective quarrying,field collection",UCMP,NA,NA,NA,V. C. Osmont,1902,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
467073,occ,NA,NA,34267,Phalarodon fraasi,species,258578,NA,Phalarodon fraasi,NA,species,258578,Middle Triassic,NA,247.2,237,Merriam,1906,9007,Chordata,Reptilia,Ichthyosauria,Mixosauridae,Phalarodon,NA,NA,1,specimens,-118.300003,40.133331,NA,American Canyon (UCMP/Stanford),NA,Omphalosaurus nevadanus type site,US,Nevada,Pershing,based on nearby landmark,minutes,local area,"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon",gp_mid,-39.08,24.35,101,US,FED,Prida,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""limestone""",NA,NA,NA,Y,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,good,NA,NA,NA,NA,NA,NA,NA,occasional,NA,NA,NA,taxonomic,"selective quarrying,field collection",UCMP,NA,NA,NA,V. C. Osmont,1902,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
