min	max
39.97	40.81
39.97	40.81
38.94999999999999	39.41999999999999
58.16	63.349999999999994
57.03999999999999	58.16
57.03999999999999	58.16
57.03999999999999	58.16
53.629999999999995	55.69
49.66999999999999	51.829999999999984
53.29999999999998	53.620000000000005
53.629999999999995	55.69
53.629999999999995	55.69
58.16	67.28
58.16	67.28
49.66999999999999	51.829999999999984
49.66999999999999	51.829999999999984
53.629999999999995	55.69
53.620000000000005	54.03
53.620000000000005	54.44999999999999
53.629999999999995	55.69
53.620000000000005	55.19
53.629999999999995	55.69
51.829999999999984	53.81999999999999
53.629999999999995	55.69
16.319999999999993	19.239999999999995
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
150.23999999999998	150.44
147.6	148.13
56.75999999999999	58.01999999999998
56.75999999999999	57.139999999999986
55.69	56.28999999999999
53.629999999999995	55.69
53.629999999999995	55.69
54.44999999999999	55.69
137.35	138.92
137.35	138.92
137.35	138.92
137.35	138.92
123.62	127.53999999999999
123.62	127.53999999999999
127.53999999999999	130.41
137.35	138.92
137.35	138.92
137.35	138.92
137.35	138.92
137.35	138.92
137.35	138.92
138.92	139.7
138.92	139.7
138.92	139.7
121.43	122.68
123.62	139.7
134.54999999999998	137.35
134.54999999999998	137.35
134.54999999999998	137.35
51.829999999999984	53.81999999999999
51.829999999999984	53.81999999999999
45.48999999999998	51.829999999999984
51.829999999999984	53.81999999999999
51.829999999999984	53.81999999999999
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
153.16	153.23999999999998
4.469999999999999	6.349999999999994
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
13.689999999999998	19.239999999999995
13.689999999999998	19.239999999999995
0	6.349999999999994
65.59	70.07
65.97999999999999	67.28
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
65.59	70.07
67.28	70.07
53	53.54999999999998
53	53.54999999999998
53.29999999999998	53.620000000000005
52.53	52.76999999999998
53.54999999999998	54.03
53	55.69
53.54999999999998	54.03
53.54999999999998	54.03
52.76999999999998	53.54999999999998
75.54999999999998	76.4
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153	153.89
153	153.89
145.2	149.53
145.2	149.53
145.2	149.53
145.2	149.53
145.2	149.53
145.2	149.53
147.6	148.13
75.54999999999998	80.53
101.69	102.63999999999999
101.69	102.63999999999999
153.16	153.23999999999998
152.9	153.48999999999998
153.16	153.23999999999998
153.16	153.23999999999998
153.48999999999998	154.01
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
152.9	153.14
145.2	149.53
145.2	149.53
145.2	149.53
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
141.69	145.2
145.2	153.48999999999998
145.2	153.48999999999998
145.2	153.48999999999998
145.2	153.48999999999998
145.2	153.48999999999998
145.2	153.48999999999998
145.2	153.48999999999998
152.9	154.29999999999998
145.2	149.53
145.2	149.53
143.1	145.2
143.1	145.2
143.1	145.2
143.1	145.2
143.1	145.2
143.1	145.2
143.1	145.2
143.1	145.2
149.53	150.44
143.1	152.9
143.1	152.9
149.53	150.44
149.53	150.44
19.239999999999995	29.08
9.22999999999999	10.039999999999992
19.239999999999995	36.870000000000005
32.39999999999999	33.56999999999999
128.6	132.64
128.6	132.64
128.6	132.64
128.6	132.64
128.6	132.64
128.6	132.64
149.53	151.19
149.53	151.19
36.870000000000005	45.48999999999998
97.46000000000001	105.5
58.16	60.829999999999984
51.829999999999984	56.099999999999994
87.31	89
89.79999999999998	107.46000000000001
149.53	151.19
51.829999999999984	56.099999999999994
45.48999999999998	53.81999999999999
45.48999999999998	53.81999999999999
51.829999999999984	53.81999999999999
147.6	148.13
147.6	148.13
147.6	148.13
147.6	148.13
147.6	148.13
51.829999999999984	53.81999999999999
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
55.69	56.28
19.239999999999995	29.08
84.34	86.46000000000001
84.34	86.46000000000001
88.15	89
152.9	153.48999999999998
152.9	153.48999999999998
147.6	148.13
147.6	148.13
13.689999999999998	19.239999999999995
13.689999999999998	19.239999999999995
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
6.599999999999994	13.689999999999998
