Species	Status	min_age	max_age
Ichthyosaurus_communis	extinct	195.59	196.54
Utatsusaurus_hataii	extinct	247.06	247.14
Utatsusaurus_hataii	extinct	248.8	247.39
Utatsusaurus_hataii	extinct	247.06	247.14
Utatsusaurus_hataii	extinct	247.06	247.14
Thaisaurus_chonglakmanii	extinct	247.39	247.91
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Pessopteryx_nisseri	extinct	246.8	247.04
Pessopteryx_nisseri	extinct	246.8	247.04
Pessopteryx_nisseri	extinct	246.8	247.04
Pessopteryx_nisseri	extinct	246.8	247.04
Pessopteryx_nisseri	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Grippia_longirostris	extinct	246.8	247.04
Quasianosteosaurus_vikinghoegdai	extinct	246.8	247.04
Phalarodon_callawayi	extinct	239.1	243.43
Phalarodon_callawayi	extinct	239.1	243.43
Phalarodon_callawayi	extinct	239.1	243.43
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	235.59	239.1
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_fraasi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	239.1	247.39
Phalarodon_callawayi	extinct	246.8	248.2
Phalarodon_fraasi	extinct	239.1	243.43
Phalarodon_fraasi	extinct	239.1	243.43
Phalarodon_fraasi	extinct	237	239.1
